annual_average_precip_mm,annual_average_PET_mm,annual_average_AET_mm,annual_avg_streamflow_mm,evap_index,dryness_index,runoff_ratio,annual_avg_precip_calib,annual_avg_precip_valid,annual_avg_flow_calib,annual_avg_flow_valid,peak_daily_precip_calib,peak_daily_precip_valid,peak_flow_calib,peak_flow_valid
935.2971429,772.6809688,666.1746757,408.270885,0.712259928,0.826134213,0.436514629,991.4933333,935.815,417.184446,400.8706592,86.21,103.03,1355.682872,4625.268641
1059.089464,748.8472177,743.0578454,457.9369218,0.701600639,0.707067007,0.432387383,1143.093333,991.6316667,494.398095,382.134961,121.57,58.61,2092.853612,712.7011298
1078.169286,782.0962859,847.7517887,395.86579,0.786288202,0.725392845,0.367164781,1135.100833,1032.303333,426.4281357,335.4561016,173.54,97.43,2377.452907,1259.316558
1317.589464,754.4039418,817.7885279,773.7896302,0.620670209,0.572563733,0.587276729,1366.563333,1300.083333,797.7442972,752.5313662,52.32,119.41,811.6360228,1459.795964
983.7541071,557.2780313,685.9305304,441.234981,0.697258111,0.566481021,0.448521615,1011.498333,946.0166667,480.1745885,393.8519401,81.43,55.01,454.2433324,351.3952729
1032.476429,495.7494368,526.8882227,371.8871178,0.510315014,0.480155695,0.360189451,1031.514167,1034.27,393.7928262,363.8418089,57.36,65.62,873.1074433,653.4221136
1510.303929,771.2170199,776.046058,764.0529231,0.513834364,0.510636969,0.505893488,1590.550833,1366.275,851.2412043,622.0343391,111.1,89.81,710.370807,389.0134616
867.3733929,763.6886158,780.2428745,255.7711879,0.899546701,0.880461197,0.29488014,903.9125,836.8966667,283.0530038,197.3871322,67.04,88.35,402.5491057,288.3512164
1079.369821,694.6019974,684.6337194,314.5896108,0.634290218,0.643525494,0.291456741,1101.4025,1179.868333,301.0258816,375.9406644,87.44,113.7,1339.311952,1471.235748
1575.274821,1293.762195,1147.597993,617.2831287,0.728506529,0.821293007,0.391857421,1700.048333,1630.168333,667.4065793,596.5992982,149.33,89.57,2850.107646,1104.756866
772.2580357,482.3746041,567.2134755,127.3446289,0.734486984,0.624628792,0.164899066,794.4633333,788.42,128.0528625,136.5806628,107.08,98.55,2153.799943,900.9348416
844.0253571,526.8998668,553.7141011,178.1829778,0.656039651,0.624270186,0.21111093,878.8241667,805.4383333,190.796492,169.2929817,80.32,62.18,920.0705233,654.7741148
986.2204748,585.9473189,516.9225203,582.2506198,0.524144989,0.594134206,0.590385857,1045.02,845.8368391,637.2940063,492.8754599,64.82586183,37.73827586,1203.465998,948.6143745
1215.82,595.1531009,547.5285121,685.2854583,0.45033682,0.489507576,0.563640554,1318.935833,1225.956388,732.1107727,633.8057995,90.05666478,82.58500036,379.4457498,231.6318085
1103.425372,545.8429801,495.5690375,658.9291444,0.449118763,0.494680469,0.597166932,1180.037889,1066.512834,700.829643,599.9584964,63.26600011,54.96333338,883.4856264,767.3865537
1437.654729,1219.2728,1103.972181,567.5809699,0.767897993,0.848098486,0.394796441,1603.833399,1411.073975,642.5815331,454.0658651,171.7492294,93.26846093,1444.159197,685.2676974
1356.590082,614.5883731,752.6554803,567.085202,0.554814229,0.453039117,0.418022518,1490.852223,1285.292917,646.3357541,458.775944,148.3474999,90.99333223,1160.990727,866.4955182
532.1208047,328.8492671,336.9486417,145.1635959,0.633218319,0.617997387,0.272801955,562.4199242,499.8498485,139.3295428,165.8340447,48.06090875,29.75545432,78.43766619,104.7723339
377.346168,506.2834095,286.5217671,96.92383769,0.759307478,1.341694848,0.256856557,452.1132289,298.312083,116.9301543,72.49962145,65.45499897,37.71749926,113.5505565,33.9802164
890.5412594,891.4110891,529.5084952,187.2828824,0.594591761,1.000976743,0.210302308,952.3317046,671.0314392,241.1538427,109.3238047,82.27000002,76.56499982,193.970402,134.5050233
1135.543466,1013.880733,743.7701775,298.7850271,0.654990495,0.892859466,0.263120731,1266.941548,928.3999995,344.6566784,236.8515069,122.8114275,110.7099991,286.0001547,194.2535704
521.2627616,429.6392805,406.0914305,142.0904168,0.779053215,0.824227841,0.27258885,583.7577563,490.3853842,137.9134307,148.3186276,33.89076908,30.35307664,29.16635241,37.37823804
707.1042622,411.5835411,322.9977056,272.4333402,0.456789363,0.582069099,0.385280297,748.6629166,634.5348613,284.7318883,232.1850287,75.05666701,56.86000029,154.3268162,129.4079908
818.5088796,826.8712119,560.8931755,269.7619673,0.685262176,1.010216544,0.329577325,854.9445829,716.8561107,275.3239067,225.7799853,55.54166603,45.96166706,86.64955182,101.0911438
1042.583976,579.3730812,654.2512846,373.3907954,0.627528621,0.555708792,0.35813978,1091.333646,1055.338542,390.7073272,360.5789373,106.2087507,129.2262497,509.703246,557.8418859
1163.738264,1087.934541,972.3894575,315.8888951,0.835574018,0.934861879,0.271443249,1157.057353,1114.455196,321.4600386,287.2385258,64.86117688,47.15764674,498.3765072,399.2675427
1329.567238,252.487991,737.1974999,529.6923919,0.554464249,0.189902386,0.398394588,1358.143917,1303.548917,485.6258404,576.5897462,104.6020012,81.84999924,184.9090109,199.0674344
1194.535057,1004.280754,990.5218638,456.912275,0.829211213,0.84072941,0.38250219,1225.116731,1119.378205,464.8054742,426.3237377,89.50692338,49.47923103,221.4377435,130.8238331
994.5655738,629.3327705,447.5722548,492.2250842,0.450017844,0.632771521,0.494914661,1022.719394,1019.318635,517.8463874,471.8661882,60.61999893,55.05454497,393.6041733,283.16847
837.7298362,649.149565,644.3238207,319.9548471,0.769130802,0.774891304,0.381930825,851.7561113,786.9243335,337.2326022,300.2530386,46.77199949,55.60466665,167.0693973,176.4139568
999.8497893,818.026993,792.9817333,260.476775,0.793100865,0.818149888,0.260515907,998.8208331,985.0261906,265.9354626,270.3676681,79.96714238,56.86857169,253.1526122,228.8001238
917.2408114,914.0688241,877.2195361,214.6998615,0.956367756,0.996541816,0.234071423,943.8620834,916.4804165,228.0023365,226.0335472,129.5599999,64.91050005,336.9704793,336.9704793
955.9935701,6.702159823,143.5515487,689.4369054,0.150159534,0.007010675,0.721173162,1063.387038,864.9892589,715.2709744,582.610861,91.64777798,49.4655554,252.0199383,195.3862443
1165.504689,1012.825616,925.227758,420.9655902,0.793843017,0.869001752,0.361187385,1170.702375,1168.43425,425.6349713,434.9022922,187.0704983,78.97199993,3171.486864,991.089645
846.9243561,566.0992096,662.1068366,137.1344201,0.781778009,0.668417676,0.161920506,807.6450006,866.3530954,131.0313979,163.8667499,151.2528578,99.98571341,659.7825351,716.4162291
873.5172132,347.9423276,402.3782131,297.6045058,0.460641424,0.398323379,0.340696785,784.3311668,769.719667,314.715812,243.901839,53.27699986,52.34599991,166.5030604,90.89707887
